code,name,Industry,Composite_Score,Momentum,Low_Vol
sz.300308,中际旭创,C39计算机、通信和其他电子设备制造业,2.018902961802102,3.071108137756276,-0.4362424487576352
sh.600183,生益科技,C39计算机、通信和其他电子设备制造业,2.0155213408749817,3.1411387921465668,-0.6109193787587163
sh.603156,养元饮品,C15酒、饮料和精制茶制造业,1.994440689180486,3.3097983254457466,-1.0747271287717874
sz.003031,中瓷电子,C39计算机、通信和其他电子设备制造业,1.9200999267005354,3.3097983254457466,-1.3225296703716234
sz.300408,三环集团,C39计算机、通信和其他电子设备制造业,1.900640280071055,2.899840670829667,-0.43082729836570666
sh.688052,纳芯微,I65软件和信息技术服务业,1.8529113842331049,2.9206331801763277,-0.6384394729677474
sh.688220,翱捷科技,C39计算机、通信和其他电子设备制造业,1.7941059434576037,3.2760155991326028,-1.6636832531173933
sh.600522,中天科技,C38电气机械和器材制造业,1.7885197762188896,3.3097983254457466,-1.7611301719771097
sh.605358,立昂微,C39计算机、通信和其他电子设备制造业,1.7766944849896438,2.9549468948768904,-0.9725611380805985
sz.002384,东山精密,C39计算机、通信和其他电子设备制造业,1.7762671369638545,3.0917214195679747,-1.2931261891124257
sz.002281,光迅科技,C39计算机、通信和其他电子设备制造业,1.762834200752657,3.3097983254457466,-1.8467487568645513
sz.300661,圣邦股份,C39计算机、通信和其他电子设备制造业,1.705663412476329,2.7552777752867756,-0.7434367674147131
sh.601991,大唐发电,D44电力、热力生产和供应业,1.6900111801570972,3.3097983254457466,-2.0894921588497506
sz.002008,大族激光,C35专用设备制造业,1.688112709559216,3.3097983254457466,-2.0958203941760214
sh.603688,石英股份,C30非金属矿物制品业,1.6716469463604937,2.8737190464186173,-1.1331879537751268
sh.600208,衢州发展,K70房地产业,1.659180352567295,3.3097983254457466,-2.192261584149091
sz.002938,鹏鼎控股,C39计算机、通信和其他电子设备制造业,1.5923083276799646,3.020087979693622,-1.7391775270185683
sz.002203,海亮股份,C32有色金属冶炼和压延加工业,1.5732406201306572,2.8003793572648608,-1.2900830998491513
sz.300136,信维通信,C39计算机、通信和其他电子设备制造业,1.5538041477481084,3.3097983254457466,-2.543515600213046
sh.600707,彩虹股份,C39计算机、通信和其他电子设备制造业,1.5300602713424822,3.3097983254457466,-2.622661854898467
sh.688008,澜起科技,C39计算机、通信和其他电子设备制造业,1.4790084328415827,3.3097983254457466,-2.7928346499014656
sh.688234,天岳先进,C39计算机、通信和其他电子设备制造业,1.4694896295413922,3.3097983254457466,-2.8245639942354335
sh.688126,沪硅产业,C39计算机、通信和其他电子设备制造业,1.4588844433888473,2.72976160631494,-1.5064956034387011
sh.688120,华海清科,C35专用设备制造业,1.4542602236861943,2.6188976684442467,-1.263227147415927
sh.688099,晶晨股份,I65软件和信息技术服务业,1.4494745309063504,2.1990698202823906,-0.29958114430440946
sz.002080,中材科技,C30非金属矿物制品业,1.4385177097919608,2.423469753131275,-0.859703724666439
sz.300604,长川科技,C35专用设备制造业,1.4175232700480547,3.3097983254457466,-2.9977851925465595
sz.301308,江波龙,C39计算机、通信和其他电子设备制造业,1.4033506201808466,3.3097983254457466,-3.0450273587705863
sh.688396,华润微,C39计算机、通信和其他电子设备制造业,1.4023820373167486,1.871646221819931,0.3074322734759904
sh.688387,信科移动,C39计算机、通信和其他电子设备制造业,1.3830831810910276,2.5415578254336326,-1.3200243223750507
sz.001389,广合科技,C39计算机、通信和其他电子设备制造业,1.3045527854499326,2.6944491589495945,-1.9385387527159443
sh.600487,亨通光电,C38电气机械和器材制造业,1.2711521372123393,2.5072296150295736,-1.6130286443612065
sh.603986,兆易创新,C39计算机、通信和其他电子设备制造业,1.2515981643549208,2.327281081659082,-1.258328642688122
sz.300001,特锐德,C38电气机械和器材制造业,1.2250462996525253,1.9900436246929225,-0.5599474587750684
sh.600497,驰宏锌锗,C32有色金属冶炼和压延加工业,1.2038539054868913,1.931592010839162,-0.49420167366840745
sh.688172,燕东微,C39计算机、通信和其他电子设备制造业,1.1019009262236634,2.5340648872883915,-2.2398149829273684
sz.002273,水晶光电,C39计算机、通信和其他电子设备制造业,1.030195402459351,1.7679140964815194,-0.6911482169257087
sz.002266,浙富控股,N77生态保护和环境治理业,1.027060345648107,1.496225600291917,-0.06765858185411625
sz.002436,兴森科技,C39计算机、通信和其他电子设备制造业,1.0082246775066461,1.8725984839319865,-1.0086475374858146
sz.300054,鼎龙股份,C39计算机、通信和其他电子设备制造业,1.0015542295293924,2.222556021957816,-1.847449952803596
sh.688469,芯联集成,C39计算机、通信和其他电子设备制造业,0.9874214473208522,1.4829363064123242,-0.1687798905592491
sz.300751,迈为股份,C35专用设备制造业,0.984431012762954,1.7572510166585278,-0.8188156629933844
sh.688037,芯源微,C35专用设备制造业,0.9685503411943468,2.6886550697507468,-3.0450273587705863
sz.300782,卓胜微,C39计算机、通信和其他电子设备制造业,0.9611339024520357,2.485800770612117,-2.5964221232548206
sh.600816,建元信托,J69其他金融业,0.9551566993921462,1.5619650019255453,-0.46072933985245146
sz.300316,晶盛机电,C35专用设备制造业,0.9511825418427395,1.8716320567794271,-1.1965329930095314
sh.600566,济川药业,C27医药制造业,0.9466910027217404,1.0912218210519278,0.6094524266179703
sh.688301,奕瑞科技,C35专用设备制造业,0.9438681792066866,1.6839184416931314,-0.7829157665950178
sz.000338,潍柴动力,C36汽车制造业,0.9246059820419034,1.6963526282739387,-0.8761361924995122
sz.300679,电连技术,C39计算机、通信和其他电子设备制造业,0.9201753677688758,1.6931918815658051,-0.8835298310906257
sz.301536,星宸科技,C39计算机、通信和其他电子设备制造业,0.9139124790697254,1.1348349577185524,0.39842669555579574
sh.688017,绿的谐波,C34通用设备制造业,0.9108443426130928,1.9388239117555337,-1.4877746520526023
sh.600584,长电科技,C39计算机、通信和其他电子设备制造业,0.8936217326215026,1.6607630251375936,-0.896374616582709
sh.600027,华电国际,D44电力、热力生产和供应业,0.8901538781473786,0.7901788245689576,1.1234290031636944
sh.688347,华虹公司,C39计算机、通信和其他电子设备制造业,0.8838586525208967,2.090501039662099,-1.931640250808575
sh.603290,斯达半导,C39计算机、通信和其他电子设备制造业,0.876916346890741,1.479542152383764,-0.5292105325929787
sz.002475,立讯精密,C39计算机、通信和其他电子设备制造业,0.859624332566666,1.8012052762388007,-1.3373978693349808
sh.600150,中国船舶,C37铁路、船舶、航空航天和其他运输设备制造业,0.8527191454391416,1.3982753916918789,-0.4202454291505781
sz.300857,协创数据,C39计算机、通信和其他电子设备制造业,0.8483132267208267,2.5168877633600037,-3.0450273587705863
sz.002429,兆驰股份,C39计算机、通信和其他电子设备制造业,0.8411263694881563,1.9349704611349632,-1.71117651102106
sz.300223,北京君正,C39计算机、通信和其他电子设备制造业,0.8232122465970768,1.64029870781102,-1.083322829568791
sh.600460,士兰微,C39计算机、通信和其他电子设备制造业,0.8158186470825052,1.0269057097983045,0.3232821674123068
sz.002851,麦格米特,C38电气机械和器材制造业,0.8076268702937497,1.714240567397671,-1.3078050896154
sz.000021,深科技,C39计算机、通信和其他电子设备制造业,0.7819349611598695,1.2822383649716564,-0.38543964773429984
sh.600885,宏发股份,C38电气机械和器材制造业,0.7781180842834801,1.2109294764354332,-0.23177516407107704
sz.002409,雅克科技,C26化学原料和化学制品制造业,0.7634776629622559,1.529193893756408,-1.0231935422240988
sh.600153,建发股份,L72商务服务业,0.7629681619933473,0.9701602544186987,0.2795199463341942
sh.688041,海光信息,C39计算机、通信和其他电子设备制造业,0.7567563200408546,2.0880357080449055,-2.3495622519685972
sz.002916,深南电路,C39计算机、通信和其他电子设备制造业,0.7561609958311883,1.4111700501331443,-0.772193464206709
sh.603699,纽威股份,C34通用设备制造业,0.7497677624278504,1.4604819822709416,-0.908565417206029
sz.000301,东方盛虹,C26化学原料和化学制品制造业,0.7497250777516581,0.9514770610086911,0.2789704501519145
sz.001965,招商公路,G54道路运输业,0.7445192160662052,0.6420782594558386,0.9835481148237273
sh.688012,中微公司,C35专用设备制造业,0.739685139158855,1.3362526431137358,-0.6523057034025331
sz.002156,通富微电,C39计算机、通信和其他电子设备制造业,0.7271333505928425,1.5874116283757282,-1.2801826309005575
sz.000539,粤电力A,D44电力、热力生产和供应业,0.7124815595933915,1.9352247596500085,-2.140585907205381
sz.301611,珂玛科技,C39计算机、通信和其他电子设备制造业,0.7070889519326244,1.7501603834482018,-1.7267443882703895
sh.688002,睿创微纳,C39计算机、通信和其他电子设备制造业,0.7009558664225408,0.9897651353027496,0.027067572368720618
sz.003022,联泓新科,C26化学原料和化学制品制造业,0.6857149443577586,1.5053397367999852,-1.226742904674103
sz.002600,领益智造,C39计算机、通信和其他电子设备制造业,0.657013485131356,1.1155019113715328,-0.4127928427623894
sh.600578,京能电力,D44电力、热力生产和供应业,0.6512235161774336,1.4553707839741683,-1.2251201086816137
sh.601918,新集能源,B06煤炭开采和洗选业,0.6498353573964376,0.8782284662844079,0.11691810332450692
sh.600601,方正科技,C39计算机、通信和其他电子设备制造业,0.6496803330182581,1.5943303033920644,-1.5545029311872893
sh.600023,浙能电力,D44电力、热力生产和供应业,0.6331012273013799,0.44147361170156413,1.080232330367617
sh.688281,华秦科技,C41其他制造业,0.6326666774996186,1.744913508692566,-1.9625759286172586
sh.600060,海信视像,C39计算机、通信和其他电子设备制造业,0.6305262442997057,0.5570803382871186,0.8019000249957428
sz.300395,菲利华,C30非金属矿物制品业,0.6251722987053725,1.8279782349539948,-2.181374885874746
sz.000967,盈峰环境,C35专用设备制造业,0.6224523054171105,2.1942293043546948,-3.0450273587705863
sz.002841,视源股份,C39计算机、通信和其他电子设备制造业,0.6120928929961205,0.7304594879807608,0.33590417136529344
sz.300285,国瓷材料,C26化学原料和化学制品制造业,0.6085486565882203,1.1779563362162635,-0.7200692625438803
sz.300972,万辰集团,F52零售业,0.6051349335178399,1.1787401581332968,-0.7332772572515596
sh.688981,中芯国际,C39计算机、通信和其他电子设备制造业,0.6035642087925017,0.9606099940671048,-0.22954262351490526
sz.000333,美的集团,C38电气机械和器材制造业,0.6023233365928047,0.28973698924149516,1.3316914804125268
sz.002463,沪电股份,C39计算机、通信和其他电子设备制造业,0.5938213079760175,1.2192733628065513,-0.8655668199618947
sh.601168,西部矿业,B09有色金属矿采选业,0.5932807403360986,0.9346662886286886,-0.20328553901327828
sz.300567,精测电子,C40仪器仪表制造业,0.5903457968586496,1.5148508314511806,-1.566832617190589
sh.688361,中科飞测,C35专用设备制造业,0.5859300074053473,1.4016953142063528,-1.317522375130332
sz.300570,太辰光,C39计算机、通信和其他电子设备制造业,0.583225538471154,1.78989152006832,-2.2323284185889003
sz.002353,杰瑞股份,C35专用设备制造业,0.5813218372432376,1.468633305882991,-1.4890715895828532
sh.601138,工业富联,C39计算机、通信和其他电子设备制造业,0.5743346867458923,1.3991659553067723,-1.3502716065628277
sz.000060,中金岭南,C32有色金属冶炼和压延加工业,0.5733564968025654,1.490362145892152,-1.5663233510731367
