code,name,Momentum,Short_Rev,Low_Vol,Liquidity,Size,Value_BP,Mom_Sharpe,Vol_Price_Corr,Amihud
688002,睿创微纳,3.25650847990327,-1.535950242465014,-0.6864354528114252,0.07832871513221258,0.22506433114714455,-0.956678571368015,2.9175463854341093,0.9493418277656158,-0.3456158726245619
300308,中际旭创,3.216796647607218,0.6374498632591116,-1.2478495865868056,0.4658744023248059,3.1118095053823875,-1.1061928329670496,2.386175674884864,0.4985558828728948,-1.3839878730417343
601138,工业富联,3.0747682115158015,-2.00606410598756,-0.9113104344175208,-0.4909019011160501,3.1118095053823875,-0.9146301997450411,2.5428663227353825,0.7967870401260835,-1.3479214007022058
688256,寒武纪,2.8777983019740585,-0.7048718708920405,-0.7112601189429069,0.11225934062873534,2.7332950626002495,-1.147713635062951,2.5559024221623217,1.0554117835927355,-1.3275020979806231
600150,中国船舶,2.798443313236377,-2.4633123502349386,-0.17735314891056755,-0.30188684650703673,1.9800180558188216,-0.16501863687093124,3.037372251703917,1.6496247366998162,-1.226404711600982
688041,海光信息,2.6859044570896278,-2.575741815544419,-0.6116663987421911,-0.3816883463365731,2.8922473357533947,-1.114706506234458,2.479398583481063,1.1928494840336845,-1.2587034295422133
688008,澜起科技,2.472939647845953,-1.7606136670362456,-1.2043436090821962,1.3262781606179086,1.4999715355473313,-0.9712841042364376,1.8687636928085638,0.13099015388870006,-1.2505037340315415
2466,天齐锂业,2.053240092477393,-0.5746050544772733,-0.8565753219848926,1.8641977409610335,0.8146806828049374,-0.34486763273499704,1.7514248592118402,0.7817290243205103,-1.1877290722003566
977,浪潮信息,1.8969463335296763,-0.012595259044868624,-0.5344388854654769,1.9687480128038743,0.8613322058145748,-0.719714738168197,1.8296362706203202,0.6506943229850927,-1.1847559225543938
688347,华虹公司,1.870799613431634,-1.38985072570408,-1.8908497975060217,1.4484922039895776,0.08922184308835517,-0.7672930919024402,1.1608820185705562,1.0795621042352193,-0.7338941014777612
338,潍柴动力,1.7404887392833206,-2.114088516738784,-0.4396182453962061,0.2682711103632043,1.1990478729796825,-0.38783970079141905,1.751433913022395,0.8817265419097555,-1.1099341608810682
688396,华润微,1.400613463238702,-0.928558317237838,-0.9439453542779791,-0.13349183082366717,0.4050629105927064,-0.46232967487176657,1.1776424914378691,0.9815424864290262,-0.48196563461977426
688981,中芯国际,1.3769739047895881,-1.1672554058545326,-0.16513118698849452,0.2936784714169588,1.7042701007087497,-0.8196971278923998,1.584897224954728,1.0971696327922396,-1.2407043858115818
688099,晶晨股份,1.3021965705490819,-2.0995572292321367,-0.6582370583122118,0.6806718888760809,-0.30596286830857494,-0.7822292465338928,1.2229691498548132,0.7785241601006069,-0.44613534108290953
688777,中控技术,1.2778135822342103,-1.9893377816968723,-1.5584767190796536,0.26071357962548947,0.15526844724969588,-0.8174483419772972,0.8790711215606478,0.9660771808912604,-0.41514262391448653
300502,新易盛,1.1898426370315769,1.1151844638075255,-2.6680146293530833,1.541326678866216,2.614659709677311,-1.107208181481541,0.5983652905412774,-1.493883060431926,-1.3697553518744412
688361,中科飞测,1.1617444373367987,-2.699790955679969,-1.9615594890360852,0.303064103571885,-0.07077138703827102,-1.0150203477343163,0.7090246917610723,0.6667794351370764,-0.0890358022754319
603259,药明康德,0.9834325807728878,-2.1984380983521365,-0.6522303861994373,-0.09664628432748669,1.92212878897941,-0.6152542536671222,0.9455617610344748,-0.304243157933763,-1.2782545918627979
688012,中微公司,0.976864497346946,-3.0570456852847223,-0.9214915606761915,0.0685059924930417,1.6632261720357624,-0.9513485357589369,0.8461779569645622,1.297977179283546,-1.1574380216901285
603019,中科曙光,0.923876219858285,-0.42340200887384166,0.025068911228564333,0.8061965973344938,1.1538999600047894,-0.8095191479061005,1.2146399242470558,0.035499841073656876,-1.2179481957112441
600030,中信证券,0.8811963655429217,-0.781890215789152,0.34938384935414196,-0.40654639097093903,2.1685072927543474,0.4394088808497884,1.3923604724842322,1.6642184260470532,-1.2906250522804843
688375,国博电子,0.8342899836017607,1.5487808189869592,-1.280334785766634,-0.48212465166216667,0.49453875771832384,-0.9952116908274007,0.640561630197206,0.882341147856004,0.15079621975640956
600309,万华化学,0.682767548624293,-0.5240914242373239,0.44160438177902755,-0.48061550816589005,2.0075213003270473,-0.29240246078654364,1.1916751093660503,0.2614851155347398,-1.2305430228847452
603298,杭叉集团,0.6427972931015621,-1.0229413629211277,0.26523165355551015,-0.8017470682659771,-0.3873242555972643,-0.4325376796531146,1.0199351680962359,0.917930270525856,1.8707160039891582
2371,北方华创,0.6228618459919726,-2.6450785733409,-1.2388780955337415,-0.24671007949933063,2.260274619428214,-0.9658674761747092,0.49546423585099086,0.7627052696742136,-1.225797878137283
600066,宇通客车,0.5336570714532517,0.230292519939825,-0.3415643464273511,-0.3730380893882472,0.6222731928135289,-0.7276997634481126,0.6355529774125822,0.46507714001206635,-0.7319969442786582
300033,同花顺,0.5224382981955095,0.8601044695584922,-0.6825320755355675,0.7022871946476059,0.8764225488439099,-1.1029457309662771,0.5329649364374749,0.5551951457409589,-1.1127501738557855
688017,绿的谐波,0.47040583193778,0.30825071115989416,-1.3782737555997935,0.7263537511077992,-0.26381229167591275,-0.9814748472629459,0.3629467904844633,-0.017212325550205788,-0.44272405357836225
688036,传音控股,0.44551041590691814,-2.1298635353858995,-0.13979145267910367,-0.5445134116599075,0.32788548047236343,-0.48122200248790725,0.6088373582821508,0.8911870997324989,-0.07114586829840971
688120,华海清科,0.32422066751753154,-0.5173520317323754,-0.24691605512238102,-0.300454489176911,0.3695833955492021,-0.939459035187347,0.4517781679708494,0.2316304394207399,-0.47868656451514296
600031,三一重工,0.3099442181893525,-0.31807695950790377,0.020698202453066833,-0.5804020843932824,1.4672730196150758,-0.11263874141668573,0.5092138792216224,1.5146950438130025,-1.0227814360491636
603993,洛阳钼业,0.24833566899030488,1.204315360904965,-0.5299751859392499,-0.30862630924383405,2.232254000425777,-0.6844354439075434,0.31954291982894717,1.2941487381850447,-1.279385794187364
528,柳 工,0.2376213283937831,-0.22619106926291693,0.5191351836721052,-0.27966020472038594,-1.0102261374530404,0.9516282530930575,0.5961075429047901,1.284347434670945,0.15523912045654054
300059,东方财富,0.22143724196109515,-0.32645046107683456,0.3679535281111295,-0.006945275692628378,1.9632180482384642,-0.5136745600613103,0.5132060859501602,1.3252885874636717,-1.3104800388432616
688111,金山办公,0.12032105971310883,-0.17578846079726274,-0.5040425430405718,-0.12319067130309362,1.0029118568575992,-0.8950197417057062,0.20547158626986978,0.66850614736402,-0.8495157437564375
300750,宁德时代,0.03266502357741391,0.6110914274655861,-0.24882726798076607,-0.5782225386002252,3.1118095053823875,-0.7790586295810723,0.15357594510984673,0.9180390170532752,-1.395925784275041
807,云铝股份,0.008405995233821574,0.7781055299424461,-0.5012363776514954,-0.14305466182355778,1.0440537819445195,-0.4766514192921022,0.1020452352216566,0.6862255863045201,-0.8529679002351419
300567,精测电子,0.006606550356784475,-1.8052505362537483,-1.547598814669973,1.423699132265032,-0.5391000892311608,-0.9482734649084458,0.027844720525451783,0.5211445719414539,-0.43571918276387533
600438,通威股份,-0.027218115954127695,0.7941204811114083,-0.3402375450897145,-0.30343142977230625,0.5763922608062052,0.02594554522217013,0.0834152717166721,1.0240833679245451,-0.5504222623725138
2050,三花智控,-0.048121513466885944,0.5733567365542068,0.21519425152265984,0.16769599927572196,1.4294807782117083,-0.806668070689271,0.12442377151871627,0.47081585314995683,-1.2371058929788945
2460,赣锋锂业,-0.06497153298624023,0.11479015607797784,-0.7281497688949309,2.7290432836345673,0.8558304933856361,-0.5994334541123576,0.018988294791568022,0.05020368849241403,-1.2805683019967582
3816,中国广核,-0.068603842672648,-0.6572168554264808,1.2391163264325917,-0.8592451401427116,1.5192386919383094,-0.020312021126734466,0.3636600017452994,-1.3112826024736515,-0.9056959265336154
601318,中国平安,-0.07588658231027494,-0.02395551989609359,0.8153992822154614,-0.7550906123869565,2.9427248359075193,0.9794097012630475,0.19522076411612563,1.3470919766655083,-1.3349364575863214
300014,亿纬锂能,-0.10802115590841294,0.22310119080132004,-1.0640585486076184,1.0421988789997936,1.246084394561029,-0.5408536837223554,-0.03259290595607792,-0.7020453495171532,-1.2311780415946114
951,中国重汽,-0.14932982916303914,0.8605263835419008,-1.0936087539206252,0.05154806302998701,-0.5914313240226138,0.171530315354628,-0.06527104713073244,-0.9650127501978274,0.4104416740560957
933,神火股份,-0.15925941075406566,0.4166447327037271,-0.474196089943982,0.10731253954015707,0.516808738125142,-0.35282835084146275,-0.0523796494258073,0.7345725110049495,-0.7928411745348721
425,徐工机械,-0.18058595656218324,-0.04002672841283521,-0.3641331707097198,-0.4087525165907408,0.7543277485680798,-0.04334506895540513,-0.06854539107405387,-0.24755923795699736,-0.622852913400728
